type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,N,2021,70.9,Abilene ChristianEast Tennessee St.11-25,2020-11-25,200,70.95,Abilene Christian,East Tennessee St.,Slnd,97.9,68.6,98.7,54.1,21.1,18.2,55.1,98.3,Joe Golding,10.1518,0.55452,Abilene Christian,20,49,13,23,17,27,6,24,30,14,8,3,15,21,70,66.2,32.4,32.4,31.4,33.3,SC,Jason Shay,East Tennessee St.,15,51,3,21,14,17,11,27,38,5,6,2,23,26,47,74.9,97.8,4.5,-10.1518,0.692259
nc,A,2021,77.1,Alcorn St.UAB11-25,2020-11-25,200,77.11250000000001,UAB,Alcorn St.,SWAC,79.8,118.4,64.8,32.5,31.1,34,19,1.1,Landon Bussie,-15.5665,0.756555,Alcorn St.,19,63,3,16,9,12,16,21,37,2,2,0,24,23,50,128.4,58.6,14.3,32.3,67.2,CUSA,Andy Kennedy,UAB,31,58,6,15,31,39,10,31,41,11,13,10,11,16,99,110.6,82.2,96.8,15.5665,0.0937327
nc,A,2021,79.2,Appalachian St.South Carolina St.11-25,2020-11-25,200,79.19999999999999,Appalachian St.,South Carolina St.,SB,96.4,87.7,102.3,57.3,29,39.4,21,75,Dustin Kearns,16.5105,0.0570753,Appalachian St.,32,62,7,27,10,13,13,46,59,15,6,3,23,13,81,77,34.4,11.4,23.3,13.8,MEAC,Murray Garvin,South Carolina St.,24,80,7,32,6,11,14,20,34,12,13,0,9,14,61,72.9,110.6,0.8,-16.5105,0.289957
nc,N,2021,79.7,Arizona St.Rhode Island11-25,2020-11-25,200,79.7375,Arizona St.,Rhode Island,P12,122.5,108.4,117.9,49.2,15,37.2,75.4,80.3,Bobby Hurley,4.8475,0.625775,Arizona St.,27,61,6,20,34,46,16,24,40,9,7,4,12,26,94,110.4,59.8,21.3,27.3,62.5,A10,David Cox,Rhode Island,29,56,9,18,21,35,9,27,36,14,8,2,17,29,88,113.7,111.9,54.4,-4.8475,0.744254
nc,A,2021,76.4,Arkansas Pine BluffMarquette11-25,2020-11-25,200,76.38749999999999,Marquette,Arkansas Pine Bluff,SWAC,80.3,122,74.6,29.5,20.9,35.3,39.4,0.8,George Ivory,-25.2234,0.814391,Arkansas Pine Bluff,18,66,3,20,18,26,18,20,38,6,6,3,16,26,57,129.6,60.7,18.3,41.2,76.8,BE,Steve Wojciechowski,Marquette,29,56,10,26,31,43,14,33,47,20,9,10,14,23,99,114.4,84.8,96.9,25.2234,0.0549249
nc,N,2021,77.7,Austin PeayNebraska Omaha11-25,2020-11-25,200,77.7125,Austin Peay,Nebraska Omaha,OVC,91.1,90.1,92.6,49.1,24.4,28.6,42.1,53.4,Matt Figger,7.74198,0.185829,Austin Peay,25,57,6,18,16,24,10,26,36,14,11,6,19,20,72,84.9,45.1,24.4,29.7,31.1,Sum,Derrin Hansen,Nebraska Omaha,26,61,3,12,11,19,11,25,36,5,7,2,19,23,66,78.7,93.2,12.6,-7.74198,0.419373
nc,A,2021,66.4,Ball St.Northern Kentucky11-25,2020-11-25,200,66.44999999999999,Northern Kentucky,Ball St.,MAC,103.9,110.3,109.9,48.4,13.5,39.5,32.8,33.7,James Whitford,-1.60875,0.406067,Ball St.,28,64,6,23,11,21,15,24,39,11,7,4,9,21,73,111.4,47.7,13.5,45.5,35.4,Horz,Darrin Horn,Northern Kentucky,27,65,8,28,12,23,20,23,43,16,5,0,9,20,74,111.3,108.9,56.3,1.60875,0.48907
nc,N,2021,64.5,Boston CollegeVillanova11-25,2020-11-25,200,64.4625,Villanova,Boston College,ACC,112.7,99.2,103.9,54.5,17.1,21.9,20,81.3,Jim Christian,-1.41983,0.910828,Boston College,26,55,8,26,7,11,7,24,31,10,6,9,11,16,67,117.9,56.7,12.4,27.3,20,BE,Jay Wright,Villanova,30,60,8,23,8,12,9,25,34,12,3,3,8,17,76,114.2,105.3,71.6,1.41983,0.516588
nc,A,2021,73.9,Bowling GreenMichigan11-25,2020-11-25,200,73.9,Michigan,Bowling Green,MAC,126.6,112.6,111,45.7,8.1,26.1,31.4,79.3,Michael Huger,-8.09375,0.957067,Bowling Green,26,70,12,29,18,22,12,22,34,12,3,0,6,24,82,129.9,62.3,13.5,31.2,42.6,B10,Juwan Howard,Michigan,33,61,10,27,20,26,10,34,44,23,3,3,10,16,96,127.4,110.6,83.6,8.09375,0.467828
nc,A,2021,69.6,Cal BaptistUSC11-25,2020-11-25,225,78.3125,USC,Cal Baptist,WAC,128.1,106.2,111.1,59.2,16.6,23.1,7,89.7,Rick Croy,-2.44482,0.947515,Cal Baptist,32,71,20,41,3,5,9,19,28,18,6,1,13,25,87,121.3,59.8,21.7,48.6,45.5,P12,Andy Enfield,USC,37,66,5,19,16,30,18,30,48,19,4,4,17,13,95,110.8,110.2,51.6,2.44482,0.33866
